,Current example URL,New example URL,Notes
Most recent version,,http://elifesciences.org/content/2/e00288,This URL will always redirect to the most recent version of the article
PoA,http://elifesciences.org/content/early/2015/05/29/eLife.00288,http://elifesciences.org/content/2/e00288v1,
PoA v2,http://elifesciences.org/content/early/2015/06/05/eLife.00288,http://elifesciences.org/content/2/e00288v2,
VoR,http://elifesciences.org/content/2/e00288,http://elifesciences.org/content/2/e00288v3,
VoR v2,no current status,http://elifesciences.org/content/2/e00288v4,
Abstract,http://elifesciences.org/content/2/e00288/abstract-1,http://elifesciences.org/content/2/e00288v4/abstract,
Abstract,http://elifesciences.org/content/2/e00288.abstract,n/a,
Digest,http://elifesciences.org/content/2/e00288/abstract-2,http://elifesciences.org/content/2/e00288v4/abstract2,
Box 1,no current landing page,http://elifesciences.org/content/2/e00288v4/box1,
Box 2,no current landing page,http://elifesciences.org/content/2/e00288v4/box2,
Box 3,no current landing page,http://elifesciences.org/content/2/e00288v4/box3,
Table 1,http://elifesciences.org/content/2/e00288/T1,http://elifesciences.org/content/2/e00288v4/table1,
Figure 1,http://elifesciences.org/content/2/e00288/F1,http://elifesciences.org/content/2/e00288v4/figure1,
Figure 1-figure supplement 1,http://elifesciences.org/content/2/e00288/F1/F2,http://elifesciences.org/content/2/e00288v4/figure1/figure-supp1,
Figure 1-figure supplement 2,http://elifesciences.org/content/2/e00288/F1/F3,http://elifesciences.org/content/2/e00288v4/figure1/figure-supp2,
Figure 1-figure supplement 3,http://elifesciences.org/content/2/e00288/F1/F4,http://elifesciences.org/content/2/e00288v4/figure1/figure-supp3,
Figure 1-source data 1,http://elifesciences.org/content/2/e00288/F1/DC1,http://elifesciences.org/content/2/e00288v4/figure1/source-data1,
Box 4,no current landing page,http://elifesciences.org/content/2/e00288v4/box4,
Box 5,no current landing page,http://elifesciences.org/content/2/e00288v4/box5,
Figure 2,http://elifesciences.org/content/2/e00288/F5,http://elifesciences.org/content/2/e00288v4/figure2,
Figure 2-figure supplement 1,http://elifesciences.org/content/2/e00288/F5/F6,http://elifesciences.org/content/2/e00288v4/figure2/figure-supp1,
Figure 2-figure supplement 2,http://elifesciences.org/content/2/e00288/F5/F7,http://elifesciences.org/content/2/e00288v4/figure2/figure-supp2,
Figure 2-figure supplement 3,http://elifesciences.org/content/2/e00288/F5/F8,http://elifesciences.org/content/2/e00288v4/figure2/figure-supp3,
Figure 2-source data 1,http://elifesciences.org/content/2/e00288/F5/DC2,http://elifesciences.org/content/2/e00288v4/figure2/source-data1,
Figure 3,http://elifesciences.org/content/2/e00288/F9,http://elifesciences.org/content/2/e00288v4/figure3,
Figure 3-figure supplement 1,http://elifesciences.org/content/2/e00288/F9/F10,http://elifesciences.org/content/2/e00288v4/figure3/figure-supp1,
Figure 4,http://elifesciences.org/content/2/e00288/F11,http://elifesciences.org/content/2/e00288v4/figure4,
Figure 4-figure supplement 1,http://elifesciences.org/content/2/e00288/F11/F12,http://elifesciences.org/content/2/e00288v4/figure4/figure-supp1,
Figure 4-source data 1,http://elifesciences.org/content/2/e00288/F11/DC3,http://elifesciences.org/content/2/e00288v4/figure4/source-data1,
Table 2,http://elifesciences.org/content/2/e00288/T2,http://elifesciences.org/content/2/e00288v4/table2,
Table 2-source data 1,http://elifesciences.org/content/2/e00288/T3/DC4,http://elifesciences.org/content/2/e00288v4/table2/source-data1,
Video 1,http://elifesciences.org/content/2/e00288/media-4,http://elifesciences.org/content/2/e00288v4/media1,
Video 2,http://elifesciences.org/content/2/e00288/media-5,http://elifesciences.org/content/2/e00288v4/media2,
Video 3,http://elifesciences.org/content/2/e00288/media-6,http://elifesciences.org/content/2/e00288v4/media3,
Figure 5,http://elifesciences.org/content/2/e00288/F13,http://elifesciences.org/content/2/e00288v4/figure5,
Video 4,http://elifesciences.org/content/2/e00288/media-7,http://elifesciences.org/content/2/e00288v4/media4,
Video 5,http://elifesciences.org/content/2/e00288/media-8,http://elifesciences.org/content/2/e00288v4/media5,
Table 3,http://elifesciences.org/content/2/e00288/T3,http://elifesciences.org/content/2/e00288v4/table3,
Video 6,http://elifesciences.org/content/2/e00288/media-9,http://elifesciences.org/content/2/e00288v4/media6,
Video 7,http://elifesciences.org/content/2/e00288/media-10,http://elifesciences.org/content/2/e00288v4/media7,
Video 8,http://elifesciences.org/content/2/e00288/media-11,http://elifesciences.org/content/2/e00288v4/media8,
Video 9,http://elifesciences.org/content/2/e00288/media-12,http://elifesciences.org/content/2/e00288v4/media9,
Figure 6,http://elifesciences.org/content/2/e00288/F14,http://elifesciences.org/content/2/e00288v4/figure6,
Figure 6-figure supplement 1,http://elifesciences.org/content/2/e00288/F14/F15,http://elifesciences.org/content/2/e00288v4/figure6/figure-supp1,
Figure 6-figure supplement 2,http://elifesciences.org/content/2/e00288/F14/F16,http://elifesciences.org/content/2/e00288v4/figure6/figure-supp1,
Table 4,http://elifesciences.org/content/2/e00288/T4,http://elifesciences.org/content/2/e00288v4/table4,
Table 5,http://elifesciences.org/content/2/e00288/T5,http://elifesciences.org/content/2/e00288v4/table5,
Table 6,http://elifesciences.org/content/2/e00288/T6,http://elifesciences.org/content/2/e00288v4/table6,
Decision letter,http://elifesciences.org/content/2/e00288/1,http://elifesciences.org/content/2/e00288v4/decision,
Author reponse,http://elifesciences.org/content/2/e00288/2,http://elifesciences.org/content/2/e00288v4/response,
Author reponse figure,http://elifesciences.org/content/2/e00288/F15,http://elifesciences.org/content/2/e00288v4/response/figure1,
Author response video,http://elifesciences.org/content/2/e00288/media-13,http://elifesciences.org/content/2/e00288v4/response/media1,
Source code,http://elifesciences.org/content/2/e00288/DC5,http://elifesciences.org/content/2/e00288v4/source-code1,
Supplemental file,http://elifesciences.org/content/2/e00288/DC5,http://elifesciences.org/content/2/e00288v4/supplemental-file1,
Appendix,none for this article,http://elifesciences.org/content/2/e00288v4/appendix1,
Appendix Figure 1,http://elifesciences.org/content/2/e00288/F15,http://elifesciences.org/content/2/e00288v4/appendix1/figure1,
Reporting standard,http://elifesciences.org/content/2/e00288/DC5,http://elifesciences.org/content/2/e00288v4/reporting-standard1,
,,,
PDF,,http://elifesciences.org/content/2/e00288v4.pdf,
XML,,http://elifesciences.org/content/2/e00288v4.xml,